Activity Date,Process Date,Settle Date,Account Type,Instrument,Description,Trans Code,Quantity,Price,Amount,Suppressed,Running Balance
02/03/2023,02/03/2023,02/06/2023,Margin,AMZN,AMZN 2023-02-03 Put $104.00,BTO,7,$0.29,($203.00),N,$269.94
02/03/2023,02/03/2023,02/06/2023,Margin,DIA,DIA 2023-02-03 Call $342.00,STC,-50,$0.08,$399.87,N,$472.94
02/03/2023,02/03/2023,02/06/2023,Margin,DIA,DIA 2023-02-03 Call $342.00,BTO,3,$0.39,($117.00),N,$73.07
02/03/2023,02/03/2023,02/06/2023,Margin,DIA,DIA 2023-02-03 Call $342.00,BTO,1,$0.39,($39.00),N,$190.07
02/03/2023,02/03/2023,02/06/2023,Margin,DIA,DIA 2023-02-03 Call $342.00,BTO,4,$0.39,($156.00),N,$229.07
02/03/2023,02/03/2023,02/06/2023,Margin,DIA,DIA 2023-02-03 Call $342.00,BTO,1,$0.39,($39.00),N,$385.07
02/03/2023,02/03/2023,02/06/2023,Margin,DIA,DIA 2023-02-03 Call $342.00,BTO,1,$0.39,($39.00),N,$424.07
02/03/2023,02/03/2023,02/06/2023,Margin,DIA,DIA 2023-02-03 Call $342.00,BTO,1,$0.40,($40.00),N,$463.07
02/03/2023,02/03/2023,02/06/2023,Margin,DIA,DIA 2023-02-03 Call $342.00,BTO,6,$0.40,($240.00),N,$503.07
02/03/2023,02/03/2023,02/06/2023,Margin,DIA,DIA 2023-02-03 Call $342.00,BTO,9,$0.40,($360.00),N,$743.07
02/03/2023,02/03/2023,02/06/2023,Margin,DIA,DIA 2023-02-03 Call $342.00,BTO,8,$0.40,($320.00),N,"$1,103.07"
02/03/2023,02/03/2023,02/06/2023,Margin,DIA,DIA 2023-02-03 Call $342.00,BTO,16,$0.40,($640.00),N,"$1,423.07"
02/03/2023,02/03/2023,02/06/2023,Margin,DIA,DIA 2023-02-03 Call $342.00,STC,-5,$0.26,$129.98,N,"$2,063.07"
02/03/2023,02/03/2023,02/06/2023,Margin,DIA,DIA 2023-02-03 Call $342.00,STC,-8,$0.26,$207.97,N,"$1,933.09"
02/03/2023,02/03/2023,02/06/2023,Margin,DIA,DIA 2023-02-03 Call $342.00,STC,-7,$0.26,$181.97,N,"$1,725.12"
02/03/2023,02/03/2023,02/06/2023,Margin,DIA,DIA 2023-02-03 Call $342.00,STC,-8,$0.26,$207.97,N,"$1,543.15"
02/03/2023,02/03/2023,02/06/2023,Margin,DIA,DIA 2023-02-03 Call $342.00,STC,-1,$0.26,$25.98,N,"$1,335.18"
02/03/2023,02/03/2023,02/06/2023,Margin,DIA,DIA 2023-02-03 Call $342.00,STC,-11,$0.26,$285.96,N,"$1,309.20"
02/03/2023,02/03/2023,02/06/2023,Margin,DIA,DIA 2023-02-03 Call $342.00,BTO,40,$0.44,"($1,760.00)",N,"$1,023.24"
02/03/2023,02/03/2023,02/06/2023,Margin,DIA,DIA 2023-02-03 Call $342.00,STC,-5,$0.32,$159.98,N,"$2,783.24"
02/03/2023,02/03/2023,02/06/2023,Margin,DIA,DIA 2023-02-03 Call $342.00,STC,-19,$0.32,$607.93,N,"$2,623.26"
02/03/2023,02/03/2023,02/06/2023,Margin,DIA,DIA 2023-02-03 Call $342.00,STC,-16,$0.32,$511.94,N,"$2,015.33"
02/03/2023,02/03/2023,02/06/2023,Margin,DIA,DIA 2023-02-03 Call $342.00,BTO,40,$0.52,"($2,080.00)",N,"$1,503.39"
02/03/2023,02/03/2023,02/06/2023,Margin,AMZN,AMZN 2023-02-03 Call $110.00,STC,-2,$0.42,$83.98,N,"$3,583.39"
02/03/2023,02/03/2023,02/06/2023,Margin,AMZN,AMZN 2023-02-03 Call $110.00,STC,-11,$0.42,$461.95,N,"$3,499.41"
02/03/2023,02/03/2023,02/06/2023,Margin,AMZN,AMZN 2023-02-03 Call $110.00,STC,-9,$0.42,$377.97,N,"$3,037.46"
02/03/2023,02/03/2023,02/06/2023,Margin,AMZN,AMZN 2023-02-03 Call $110.00,STC,-2,$0.42,$83.98,N,"$2,659.49"
02/03/2023,02/03/2023,02/06/2023,Margin,AMZN,AMZN 2023-02-03 Call $110.00,STC,-1,$0.42,$41.98,N,"$2,575.51"
02/03/2023,02/03/2023,02/06/2023,Margin,AMZN,AMZN 2023-02-03 Call $110.00,STC,-11,$0.42,$461.95,N,"$2,533.53"
02/03/2023,02/03/2023,02/06/2023,Margin,AMZN,AMZN 2023-02-03 Call $110.00,STC,-4,$0.42,$167.98,N,"$2,071.58"
02/03/2023,02/03/2023,02/06/2023,Margin,AMZN,AMZN 2023-02-03 Call $110.00,STC,-10,$0.47,$469.96,N,"$1,903.60"
02/03/2023,02/03/2023,02/06/2023,Margin,AMZN,AMZN 2023-02-03 Call $110.00,BTO,19,$0.51,($969.00),N,"$1,433.64"
02/03/2023,02/03/2023,02/06/2023,Margin,AMZN,AMZN 2023-02-03 Call $110.00,BTO,10,$0.51,($510.00),N,"$2,402.64"
02/03/2023,02/03/2023,02/06/2023,Margin,AMZN,AMZN 2023-02-03 Call $110.00,BTO,10,$0.51,($510.00),N,"$2,912.64"
02/03/2023,02/03/2023,02/06/2023,Margin,AMZN,AMZN 2023-02-03 Call $110.00,BTO,1,$0.51,($51.00),N,"$3,422.64"
02/03/2023,02/03/2023,02/06/2023,Margin,AMZN,AMZN 2023-02-03 Call $110.00,BTO,10,$0.51,($510.00),N,"$3,473.64"
02/03/2023,02/03/2023,02/06/2023,Margin,AMZN,AMZN 2023-02-03 Call $109.00,STC,-11,$0.79,$868.95,N,"$3,983.64"
02/03/2023,02/03/2023,02/06/2023,Margin,AMZN,AMZN 2023-02-03 Call $109.00,STC,-11,$0.79,$868.95,N,"$3,114.69"
02/03/2023,02/03/2023,02/06/2023,Margin,AMZN,AMZN 2023-02-03 Call $109.00,STC,-18,$0.79,"$1,421.92",N,"$2,245.74"
02/03/2023,02/03/2023,02/06/2023,Margin,AMZN,AMZN 2023-02-03 Call $109.00,BTO,9,$0.64,($576.00),N,$823.82
02/03/2023,02/03/2023,02/06/2023,Margin,AMZN,AMZN 2023-02-03 Call $109.00,BTO,1,$0.64,($64.00),N,"$1,399.82"
02/03/2023,02/03/2023,02/06/2023,Margin,AMZN,AMZN 2023-02-03 Call $109.00,BTO,10,$0.68,($680.00),N,"$1,463.82"
02/03/2023,02/03/2023,02/06/2023,Margin,AMZN,AMZN 2023-02-03 Call $109.00,BTO,20,$0.64,"($1,280.00)",N,"$2,143.82"
02/03/2023,02/03/2023,02/06/2023,Margin,NFLX,NFLX 2023-02-03 Call $372.50,STC,-19,$1.10,"$2,089.90",N,"$3,423.82"
02/03/2023,02/03/2023,02/06/2023,Margin,NFLX,NFLX 2023-02-03 Call $372.50,STC,-1,$1.10,$109.98,N,"$1,333.92"
02/03/2023,02/03/2023,02/06/2023,Margin,NFLX,NFLX 2023-02-03 Call $372.50,BTO,2,$0.65,($130.00),N,"$1,223.94"
02/03/2023,02/03/2023,02/06/2023,Margin,NFLX,NFLX 2023-02-03 Call $372.50,BTO,1,$0.65,($65.00),N,"$1,353.94"
02/03/2023,02/03/2023,02/06/2023,Margin,NFLX,NFLX 2023-02-03 Call $372.50,BTO,1,$0.65,($65.00),N,"$1,418.94"
02/03/2023,02/03/2023,02/06/2023,Margin,NFLX,NFLX 2023-02-03 Call $372.50,BTO,1,$0.65,($65.00),N,"$1,483.94"
02/03/2023,02/03/2023,02/06/2023,Margin,NFLX,NFLX 2023-02-03 Call $372.50,BTO,1,$0.65,($65.00),N,"$1,548.94"
02/03/2023,02/03/2023,02/06/2023,Margin,NFLX,NFLX 2023-02-03 Call $372.50,BTO,5,$0.65,($325.00),N,"$1,613.94"
02/03/2023,02/03/2023,02/06/2023,Margin,NFLX,NFLX 2023-02-03 Call $372.50,BTO,1,$0.65,($65.00),N,"$1,938.94"
02/03/2023,02/03/2023,02/06/2023,Margin,NFLX,NFLX 2023-02-03 Call $372.50,BTO,8,$0.65,($520.00),N,"$2,003.94"
02/02/2023,02/02/2023,02/03/2023,Margin,DLTR,DLTR 2023-02-03 Call $160.00,BTO,7,$0.18,($126.00),N,"$2,523.94"
02/02/2023,02/02/2023,02/03/2023,Margin,DLTR,DLTR 2023-02-03 Call $160.00,BTO,3,$0.41,($123.00),N,"$2,649.94"
02/02/2023,02/02/2023,02/03/2023,Margin,DLTR,DLTR 2023-02-03 Call $160.00,STC,-2,$0.38,$75.98,N,"$2,772.94"
02/02/2023,02/02/2023,02/03/2023,Margin,DLTR,DLTR 2023-02-03 Call $160.00,STC,-18,$0.38,$683.94,N,"$2,696.96"
02/02/2023,02/02/2023,02/03/2023,Margin,DLTR,DLTR 2023-02-03 Call $160.00,BTO,20,$0.40,($800.00),N,"$2,013.02"
02/02/2023,02/02/2023,02/02/2023,Margin,,ACH Withdrawal,ACH,--,,($900.00),N,"$2,813.02"
02/02/2023,02/02/2023,02/03/2023,Margin,DLTR,DLTR 2023-02-03 Call $160.00,STC,-40,$0.24,$959.87,N,"$3,713.02"
02/02/2023,02/02/2023,02/03/2023,Margin,ADI,ADI 2023-02-03 Call $180.00,STC,-30,$0.70,"$2,099.88",N,"$2,753.15"
02/02/2023,02/02/2023,02/03/2023,Margin,ADI,ADI 2023-02-03 Call $180.00,BTO,5,$0.66,($330.00),N,$653.27
02/02/2023,02/02/2023,02/03/2023,Margin,ADI,ADI 2023-02-03 Call $180.00,BTO,5,$0.66,($330.00),N,$983.27
02/02/2023,02/02/2023,02/03/2023,Margin,ADI,ADI 2023-02-03 Call $180.00,BTO,10,$0.58,($580.00),N,"$1,313.27"
02/02/2023,02/02/2023,02/03/2023,Margin,ADI,ADI 2023-02-03 Call $180.00,BTO,9,$0.70,($630.00),N,"$1,893.27"
02/02/2023,02/02/2023,02/03/2023,Margin,ADI,ADI 2023-02-03 Call $180.00,BTO,1,$0.70,($70.00),N,"$2,523.27"
02/01/2023,02/01/2023,02/01/2023,Margin,,ACH Withdrawal,ACH,--,,"($2,000.00)",N,"$2,593.27"
02/01/2023,02/01/2023,02/01/2023,Margin,,Instant bank transfer - withdrawal fee,RTP,--,,($13.50),N,"$4,593.27"
02/01/2023,02/01/2023,02/01/2023,Margin,,Instant bank transfer - account ending in 0187,RTP,--,,($886.50),N,"$4,606.77"
02/01/2023,02/01/2023,02/02/2023,Margin,ADI,ADI 2023-02-03 Call $177.50,STC,-24,$2.20,"$5,279.81",N,"$5,493.27"
02/01/2023,02/01/2023,02/02/2023,Margin,SPY,SPY 2023-02-01 Call $409.00,STC,-1,$2.02,$201.98,N,$213.46
02/01/2023,02/01/2023,02/02/2023,Margin,ADI,ADI 2023-02-03 Call $177.50,BTO,2,$0.72,($144.00),N,$11.48
02/01/2023,02/01/2023,02/02/2023,Margin,ADI,ADI 2023-02-03 Call $177.50,BTO,2,$0.75,($150.00),N,$155.48
02/01/2023,02/01/2023,02/02/2023,Margin,ADI,ADI 2023-02-03 Call $177.50,BTO,6,$0.70,($420.00),N,$305.48
02/01/2023,02/01/2023,02/02/2023,Margin,ADI,ADI 2023-02-03 Call $177.50,BTO,2,$0.75,($150.00),N,$725.48
02/01/2023,02/01/2023,02/01/2023,Margin,,ACH Deposit,ACH,--,,$850.00,N,$875.48
01/31/2023,01/31/2023,02/01/2023,Margin,--,Option Expiration for SPY 2023-01-31 call $410.00,OEXP,18S,,--,N,$25.48
01/31/2023,01/31/2023,02/01/2023,Margin,--,Option Expiration for SPY 2023-01-31 call $408.00,OEXP,10S,,--,N,$25.48
01/31/2023,01/31/2023,02/01/2023,Margin,ADI,ADI 2023-02-03 Call $177.50,BTO,1,$0.39,($39.00),N,$25.48
01/31/2023,01/31/2023,02/01/2023,Margin,ADI,ADI 2023-02-03 Call $177.50,BTO,11,$0.37,($407.00),N,$64.48
01/31/2023,01/31/2023,01/31/2023,Margin,,ACH Deposit,ACH,--,,$470.00,N,$471.48
01/31/2023,01/31/2023,02/01/2023,Margin,SPY,SPY 2023-01-31 Call $408.00,BTO,1,$0.03,($3.00),N,$1.48
01/31/2023,01/31/2023,02/01/2023,Margin,SPY,SPY 2023-01-31 Call $408.00,BTO,2,$0.03,($6.00),N,$4.48
01/31/2023,01/31/2023,02/01/2023,Margin,SPY,SPY 2023-01-31 Call $408.00,BTO,3,$0.03,($9.00),N,$10.48
01/31/2023,01/31/2023,02/01/2023,Margin,SPY,SPY 2023-01-31 Call $408.00,BTO,4,$0.03,($12.00),N,$19.48
01/31/2023,01/31/2023,01/31/2023,Margin,,ACH Deposit,ACH,--,,$30.00,N,$31.48
01/31/2023,01/31/2023,02/01/2023,Margin,SPY,SPY 2023-01-31 Call $410.00,BTO,18,$0.01,($18.00),N,$1.48
01/31/2023,01/31/2023,02/01/2023,Margin,SPY,SPY 2023-02-01 Call $409.00,BTO,1,$0.82,($82.00),N,$19.48
01/31/2023,01/31/2023,02/01/2023,Margin,DLTR,DLTR 2023-02-03 Call $165.00,BTO,2,$0.01,($2.00),N,$101.48
01/31/2023,01/31/2023,01/31/2023,Margin,,Gold Fee,GOLD,--,,($5.00),N,$103.48
01/30/2023,01/30/2023,01/31/2023,Margin,DLTR,DLTR 2023-02-03 Call $160.00,BTO,39,$0.12,($468.00),N,$108.48
01/30/2023,01/30/2023,01/31/2023,Margin,DLTR,DLTR 2023-02-03 Call $160.00,BTO,1,$0.10,($10.00),N,$576.48
01/30/2023,01/30/2023,01/31/2023,Margin,SPY,SPY 2023-01-30 Call $412.00,STC,-10,$0.01,$9.97,N,$586.48
01/30/2023,01/30/2023,01/31/2023,Margin,SPY,SPY 2023-01-30 Call $412.00,STC,-10,$0.01,$9.97,N,$576.51
01/30/2023,01/30/2023,01/31/2023,Margin,SPY,SPY 2023-01-30 Call $412.00,STC,-10,$0.01,$9.97,N,$566.54
01/30/2023,01/30/2023,01/31/2023,Margin,SPY,SPY 2023-01-30 Call $412.00,STC,-10,$0.01,$9.97,N,$556.57
01/30/2023,01/30/2023,01/31/2023,Margin,SPY,SPY 2023-01-30 Call $412.00,STC,-10,$0.01,$9.97,N,$546.60
01/30/2023,01/30/2023,01/31/2023,Margin,SPY,SPY 2023-01-30 Call $412.00,STC,-150,$0.01,$149.62,N,$536.63
01/27/2023,01/27/2023,01/30/2023,Margin,SPY,SPY 2023-01-30 Call $412.00,BTO,35,$0.10,($350.00),N,$387.01
01/27/2023,01/27/2023,01/30/2023,Margin,SPY,SPY 2023-01-30 Call $412.00,BTO,6,$0.10,($60.00),N,$737.01
01/27/2023,01/27/2023,01/30/2023,Margin,SPY,SPY 2023-01-30 Call $412.00,BTO,30,$0.10,($300.00),N,$797.01
01/27/2023,01/27/2023,01/30/2023,Margin,SPY,SPY 2023-01-30 Call $412.00,BTO,3,$0.10,($30.00),N,"$1,097.01"
01/27/2023,01/27/2023,01/30/2023,Margin,SPY,SPY 2023-01-30 Call $412.00,BTO,48,$0.10,($480.00),N,"$1,127.01"
01/27/2023,01/27/2023,01/30/2023,Margin,SPY,SPY 2023-01-30 Call $412.00,BTO,16,$0.10,($160.00),N,"$1,607.01"
01/27/2023,01/27/2023,01/30/2023,Margin,SPY,SPY 2023-01-30 Call $412.00,BTO,50,$0.10,($500.00),N,"$1,767.01"
01/27/2023,01/27/2023,01/30/2023,Margin,SPY,SPY 2023-01-30 Call $412.00,BTO,5,$0.10,($50.00),N,"$2,267.01"
01/27/2023,01/27/2023,01/30/2023,Margin,SPY,SPY 2023-01-30 Call $412.00,BTO,5,$0.10,($50.00),N,"$2,317.01"
01/27/2023,01/27/2023,01/30/2023,Margin,SPY,SPY 2023-01-30 Call $412.00,BTO,1,$0.10,($10.00),N,"$2,367.01"
01/27/2023,01/27/2023,01/30/2023,Margin,SPY,SPY 2023-01-30 Call $412.00,BTO,1,$0.10,($10.00),N,"$2,377.01"
01/27/2023,01/27/2023,01/30/2023,Margin,SPY,SPY 2023-01-27 Call $409.00,STC,-9,$0.17,$152.97,N,"$2,387.01"
01/27/2023,01/27/2023,01/30/2023,Margin,SPY,SPY 2023-01-27 Call $409.00,STC,-1,$0.17,$16.98,N,"$2,234.04"
01/27/2023,01/27/2023,01/30/2023,Margin,AMAT,AMAT 2023-01-27 Call $116.00,STC,-1,$0.04,$3.98,N,"$2,217.06"
01/27/2023,01/27/2023,01/30/2023,Margin,AMAT,AMAT 2023-01-27 Call $116.00,STC,-13,$0.04,$51.96,N,"$2,213.08"
01/27/2023,01/27/2023,01/30/2023,Margin,AMAT,AMAT 2023-01-27 Call $116.00,STC,-1,$0.04,$3.98,N,"$2,161.12"
01/27/2023,01/27/2023,01/30/2023,Margin,AMAT,AMAT 2023-01-27 Call $116.00,STC,-2,$0.04,$7.98,N,"$2,157.14"
01/27/2023,01/27/2023,01/30/2023,Margin,AMAT,AMAT 2023-01-27 Call $116.00,STC,-8,$0.04,$31.97,N,"$2,149.16"
01/27/2023,01/27/2023,01/30/2023,Margin,AMAT,AMAT 2023-01-27 Call $116.00,STC,-10,$0.04,$39.97,N,"$2,117.19"
01/27/2023,01/27/2023,01/30/2023,Margin,AMAT,AMAT 2023-01-27 Call $116.00,STC,-65,$0.04,$259.83,N,"$2,077.22"
01/27/2023,01/27/2023,01/30/2023,Margin,AMAT,AMAT 2023-01-27 Call $116.00,BTO,47,$0.10,($470.00),N,"$1,817.39"
01/27/2023,01/27/2023,01/30/2023,Margin,AMAT,AMAT 2023-01-27 Call $116.00,BTO,53,$0.10,($530.00),N,"$2,287.39"
01/26/2023,01/26/2023,01/27/2023,Margin,SPY,SPY 2023-01-27 Call $409.00,BTO,1,$0.24,($24.00),N,"$2,817.39"
01/26/2023,01/26/2023,01/27/2023,Margin,SPY,SPY 2023-01-27 Call $409.00,BTO,1,$0.24,($24.00),N,"$2,841.39"
01/26/2023,01/26/2023,01/27/2023,Margin,SPY,SPY 2023-01-27 Call $409.00,BTO,2,$0.24,($48.00),N,"$2,865.39"
01/26/2023,01/26/2023,01/27/2023,Margin,SPY,SPY 2023-01-27 Call $409.00,BTO,3,$0.24,($72.00),N,"$2,913.39"
01/26/2023,01/26/2023,01/27/2023,Margin,SPY,SPY 2023-01-27 Call $409.00,BTO,3,$0.24,($72.00),N,"$2,985.39"
01/26/2023,01/26/2023,01/26/2023,Margin,,ACH Withdrawal,ACH,--,,"($3,600.00)",N,"$3,057.39"
01/26/2023,01/26/2023,01/27/2023,Margin,SPY,SPY 2023-01-27 Call $409.00,STC,-30,$0.24,$719.91,N,"$6,657.39"
01/26/2023,01/26/2023,01/27/2023,Margin,AMAT,AMAT 2023-01-27 Call $116.00,STC,-60,$0.56,"$3,359.77",N,"$5,937.48"
01/26/2023,01/26/2023,01/27/2023,Margin,AMAT,AMAT 2023-01-27 Call $116.00,STC,-22,$0.56,"$1,231.92",N,"$2,577.71"
01/26/2023,01/26/2023,01/27/2023,Margin,AMAT,AMAT 2023-01-27 Call $116.00,STC,-18,$0.56,"$1,007.93",N,"$1,345.79"
01/26/2023,01/26/2023,01/27/2023,Margin,SPY,SPY 2023-01-27 Call $409.00,BTO,30,$0.20,($600.00),N,$337.86
01/26/2023,01/26/2023,01/27/2023,Margin,AMAT,AMAT 2023-01-27 Call $116.00,BTO,83,$0.30,"($2,490.00)",N,$937.86
01/26/2023,01/26/2023,01/27/2023,Margin,AMAT,AMAT 2023-01-27 Call $116.00,BTO,17,$0.30,($510.00),N,"$3,427.86"
01/26/2023,01/26/2023,01/27/2023,Margin,SPY,SPY 2023-01-27 Call $409.00,STC,-2,$0.19,$37.98,N,"$3,937.86"
01/26/2023,01/26/2023,01/27/2023,Margin,SPY,SPY 2023-01-27 Call $409.00,STC,-6,$0.19,$113.98,N,"$3,899.88"
01/26/2023,01/26/2023,01/27/2023,Margin,SPY,SPY 2023-01-27 Call $409.00,STC,-1,$0.19,$18.98,N,"$3,785.90"
01/26/2023,01/26/2023,01/27/2023,Margin,SPY,SPY 2023-01-27 Call $409.00,STC,-1,$0.19,$18.98,N,"$3,766.92"
01/26/2023,01/26/2023,01/27/2023,Margin,SPY,SPY 2023-01-27 Call $409.00,STC,-1,$0.19,$18.98,N,"$3,747.94"
01/26/2023,01/26/2023,01/27/2023,Margin,SPY,SPY 2023-01-27 Call $409.00,STC,-2,$0.19,$37.98,N,"$3,728.96"
01/26/2023,01/26/2023,01/27/2023,Margin,SPY,SPY 2023-01-27 Call $409.00,STC,-4,$0.19,$75.98,N,"$3,690.98"
01/26/2023,01/26/2023,01/27/2023,Margin,SPY,SPY 2023-01-27 Call $409.00,STC,-13,$0.19,$246.96,N,"$3,615.00"
01/26/2023,01/26/2023,01/27/2023,Margin,AMAT,AMAT 2023-01-27 Call $116.00,STC,-22,$0.27,$593.93,N,"$3,368.04"
01/26/2023,01/26/2023,01/27/2023,Margin,AMAT,AMAT 2023-01-27 Call $116.00,STC,-3,$0.28,$83.98,N,"$2,774.11"
01/26/2023,01/26/2023,01/27/2023,Margin,AMAT,AMAT 2023-01-27 Call $116.00,STC,-41,$0.35,"$1,434.86",N,"$2,690.13"
01/26/2023,01/26/2023,01/27/2023,Margin,AMAT,AMAT 2023-01-27 Call $116.00,STC,-34,$0.35,"$1,189.89",N,"$1,255.27"
01/25/2023,01/25/2023,01/26/2023,Margin,--,Option Expiration for SPY 2023-01-25 call $408.00,OEXP,50S,,--,N,$65.38
01/25/2023,01/25/2023,01/26/2023,Margin,SPY,SPY 2023-01-27 Call $409.00,BTO,30,$0.12,($360.00),N,$65.38
01/25/2023,01/25/2023,01/25/2023,Margin,,ACH Deposit,ACH,--,,$300.00,N,$425.38
01/25/2023,01/25/2023,01/26/2023,Margin,AMAT,AMAT 2023-01-27 Call $116.00,BTO,48,$0.19,($912.00),N,$125.38
01/25/2023,01/25/2023,01/26/2023,Margin,AMAT,AMAT 2023-01-27 Call $116.00,BTO,2,$0.19,($38.00),N,"$1,037.38"
01/25/2023,01/25/2023,01/25/2023,Margin,,ACH Deposit,ACH,--,,"$1,000.00",N,"$1,075.38"
01/25/2023,01/25/2023,01/26/2023,Margin,AMAT,AMAT 2023-01-27 Call $116.00,BTO,2,$0.23,($46.00),N,$75.38
01/25/2023,01/25/2023,01/26/2023,Margin,AMAT,AMAT 2023-01-27 Call $116.00,BTO,2,$0.23,($46.00),N,$121.38
01/25/2023,01/25/2023,01/26/2023,Margin,AMAT,AMAT 2023-01-27 Call $116.00,BTO,2,$0.23,($46.00),N,$167.38
01/25/2023,01/25/2023,01/26/2023,Margin,AMAT,AMAT 2023-01-27 Call $116.00,BTO,11,$0.23,($253.00),N,$213.38
01/25/2023,01/25/2023,01/26/2023,Margin,AMAT,AMAT 2023-01-27 Call $116.00,BTO,8,$0.23,($184.00),N,$466.38
01/25/2023,01/25/2023,01/26/2023,Margin,AMAT,AMAT 2023-01-27 Call $116.00,BTO,1,$0.23,($23.00),N,$650.38
01/25/2023,01/25/2023,01/26/2023,Margin,AMAT,AMAT 2023-01-27 Call $116.00,BTO,1,$0.23,($23.00),N,$673.38
01/25/2023,01/25/2023,01/25/2023,Margin,,ACH Deposit,ACH,--,,$670.00,N,$696.38
01/24/2023,01/24/2023,01/25/2023,Margin,SPY,SPY 2023-01-25 Call $408.00,BTO,21,$0.08,($168.00),N,$26.38
01/24/2023,01/24/2023,01/25/2023,Margin,SPY,SPY 2023-01-25 Call $408.00,BTO,20,$0.08,($160.00),N,$194.38
01/24/2023,01/24/2023,01/24/2023,Margin,,ACH Deposit,ACH,--,,$350.00,N,$354.38
01/24/2023,01/24/2023,01/25/2023,Margin,SPY,SPY 2023-01-25 Call $408.00,BTO,4,$0.08,($32.00),N,$4.38
01/24/2023,01/24/2023,01/25/2023,Margin,SPY,SPY 2023-01-25 Call $408.00,BTO,2,$0.08,($16.00),N,$36.38
01/24/2023,01/24/2023,01/25/2023,Margin,SPY,SPY 2023-01-25 Call $408.00,BTO,1,$0.08,($8.00),N,$52.38
01/24/2023,01/24/2023,01/25/2023,Margin,SPY,SPY 2023-01-25 Call $408.00,BTO,1,$0.08,($8.00),N,$60.38
01/24/2023,01/24/2023,01/25/2023,Margin,SPY,SPY 2023-01-25 Call $408.00,BTO,1,$0.08,($8.00),N,$68.38
01/23/2023,01/23/2023,01/24/2023,Margin,AMAT,AMAT 2023-01-27 Call $116.00,BTO,23,$1.30,"($2,990.00)",N,$76.38
01/23/2023,01/23/2023,01/23/2023,Margin,,ACH Withdrawal,ACH,--,,"($3,700.00)",N,"$3,066.38"
01/23/2023,01/23/2023,01/24/2023,Margin,AMAT,AMAT 2023-01-27 Call $114.00,STC,-20,$2.30,"$4,599.84",N,"$6,766.38"
01/23/2023,01/23/2023,01/24/2023,Margin,AMAT,AMAT 2023-01-27 Call $114.00,STC,-6,$2.31,"$1,385.95",N,"$2,166.54"
01/23/2023,01/23/2023,01/24/2023,Margin,AMAT,AMAT 2023-01-27 Call $114.00,STC,-3,$2.30,$689.97,N,$780.59
